,Paper Name,Keywords,Domains,Abstract,Publication Date,Author
10,Analyse des réseaux sociaux en situation d’urgence - Projet RéSoCIO,[],"['Intelligence artificielle [cs.AI]', 'Environnement et Société']","['RéSoCIO ambitionne de proposer une démarche outillée permettant de démontrer l’intérêt et la faisabilité de l’exploitation automatisée des données issues du réseau social Twitter en contexte de crise liée à une catastrophe naturelle à cinétique rapide, en se focalisant sur le cas des crues éclair et des séismes.']",2024/03/14,['Sylvain Chave']
11,The RESIIST project,[],"[""Sciences de l'ingénieur [physics]""]","[""Le projet RESIIST propose une méthodologie et des outils de (a) recueil de données, (b) modélisation, (c) aide à la décision (d) simulation et visualisation (e) aide à la mise en oeuvre des décisions pour évaluer en temps réel la résilience des infrastructures critiques afin de définir les stratégies possibles et d'opérer des analyses sur des critères originaux.""]",2019/10/01,"['Daouda Kamissoko', 'Bruno Barroca', 'Jérôme Tixier']"
12,Projet RéSoCIO : Analyse des réseaux sociaux en situation d’urgence,"['Réseaux sociaux', 'Twitter', 'gestion de crise', 'catastrophes naturelles']","['Intelligence artificielle [cs.AI]', 'Environnement et Société', ""Sciences de l'Homme et Société""]",[],2023/03/21,['Aurelie Montarnal']
13,Vers un service public raisonné,[],"[""Sciences de l'ingénieur [physics]""]","['Qu’est-ce qu’une administration, si ce n’est une organisation publique qui remplit des missions d’intérêt général et dont on exige de la qualité de service ? Son objectif premier consiste à maximiser la satisfaction de ses bénéficiaires. Mais comment la mesurer et l’atteindre ?\r\n\r\nL’efficacité et l’efficience de l’administration sont souvent critiquées et font l’objet de nombreux débats contradictoires. Suffirait-il simplement d’accroître les budgets pour que la situation s’améliore ? Peut-être. Mais, dans un contexte budgétaire de dettes durables, la juste mesure des investissements à opérer réclame une réflexion de fond sur la préparation de l’avenir avec son cortège de mutations.\r\n\r\nCet ouvrage exprime le point de vue de six ingénieurs évoluant dans différentes administrations. Il propose d’adapter des démarches de progrès permanent issues de l’ingénierie d’entreprise au cas particulier des administrations publiques, tout en tenant compte de ses caractéristiques propres. Les auteurs abordent des sujets aussi fondamentaux que l’approche processus, l’amélioration continue, la gestion des flux, la structuration des systèmes d’information ou la conduite du changement en proposant des solutions concrètes et accessibles.\r\n\r\nCet ouvrage est aussi une boîte à outils destinée à tous les citoyens, curieux et attachés au service public, afin de mieux appréhender les enjeux et les défis des prochaines années.']",2021,"['Frederick Benaben', 'Matthieu Lauras']"
14,Optimisation models for the design of multiple self-consumption loops in semi-rural areas,"['Optimization and Control (math.OC)', 'FOS: Mathematics']",['Informatique [cs]'],"[""Collective electricity self-consumption gains increasing interest in a context where localised consumption of energy is a lever of sustainable development. While easing energy distribution networks, collective self-consumption requires complementary prosumers' profiles. Before determining the proper energy exchanges happening between these prosumers, one must ensure their compatibility in the context of collective self-consumption. Motivated by real use cases from a solar power producer, this article proposes network flow-based linear models to solve both the design aspect of the problem and the attribution of distribution flows between the involved prosumers. Two main models are proposed, handling (i) single collective self-consumption loop creation and (ii) multiple loop creation. One of the objectives of this work is to provide models that can be applied at a strategic level which implies their extension to large time scale and large spatial scale. To do so, associated Benders and Dantzig-Wolfe decompositions are proposed to ensure model scalability along temporal and spatial dimensions. The proposed models are tested on realistic use cases to assess their performances.""]",2024/10/17,['Yohann Chasseray']
15,Designing a data-driven model for business continuity planning evaluation using robustness indicators,"['Business continuity planning', 'Robustness indicators', 'Data-driven approach', 'Risk management', 'Disaster preparedness', 'Business continuity assessment', 'Resilience']",['Autre [cs.OH]'],[],2023/11/27,['Oussema Ben Amara']
16,A methodology for business process discovery and diagnosis based on indoor location data : Application to patient pathways improvement,"['Process Mining', 'Indoor localization systems', 'Business Process Management', 'Business Process Diagnosis', 'Healthcare processes']",['Autre [cs.OH]'],[],2019/11/12,['Sina Namaki Araghi']
17,Piloter le transport de colis intelligents : proposition d’une approche décentralisée Application aux colis contenant des produits sensibles,"['Transport', 'Pilotage décentralisé', 'Colis intelligent', 'Internet Physique', 'Simulation', 'EFS']",['Autre [cs.OH]'],[],2019/11/13,['Quentin Schoen']
18,HospiT'Win : designing a discrete event simulation-based digital twin for real-time monitoring and near-future prediction of patient pathways in the hospital,"['Digital Twin', 'Online simulation', 'Offline simulation', 'Discrete event simulation', 'Patient pathways in hospital', 'Predictive simulation', 'Real time data', 'Internet of Things']",['Autre [cs.OH]'],[],2021/10/18,['Abdallah Karakra']
19,Agility management in supply chains : monitoring plans execution with a model-driven framework,"['Supply chain agility and visibility', 'Model-driven engineering', 'Event-driven architecture', 'Complex-event processing', 'Service-driven architecture', 'Supply chain monitoring', 'Supply chain modeling']",['Autre [cs.OH]'],[],2019/10/21,['Zheng Jiang']
20,Contrôle dynamique du Demand Driven Sales and Operations Planning,"['Demand Driven Material Requirements Planning', 'Paramétrage dynamique', 'Simulation à événements discrets', 'Demand Driven Sales & Operations Planning']",['Autre [cs.OH]'],[],2020/11/10,['Guillaume Martin']
21,Mise en œuvre d'une approche d'estimation de besoin de maintenance par système à base de connaissances,"['PHM', 'Modélisation', 'Système Expert', 'EDA']",['Autre [cs.OH]'],[],2021/10/26,['Alexandre Sarazin']
22,Modélisation des incertitudes en horizon glissant et compilation de solutions de problèmes de lot sizing pour la planification tactique d'une chaîne logistique décentralisée,"['Chaîne logistique décentralisée', 'Planification tactique', 'Planification à horizon glissant', 'Instabilité', 'Problème de lot sizing', 'Compilation de connaissances']",['Autre [cs.OH]'],[],2023/07/07,['Walid Khellaf']
23,Assessing the potential of the physical Internet for city logistics activities in developing countries,"['Physical Internet', 'City logistics', 'Simulation', 'Last-mile delivery', 'Developing countries', 'Cambodia']",['Autre [cs.OH]'],[],2023/05/12,['Sam Ban']
24,"Conception d'un système de traitement des médias sociaux pour la réponse aux crises : extraction, gestion et partage d'informations pertinentes pour les décideurs (thèse sous embargo)","['Gestion de crise', 'Apprentissage machine', 'Traitement automatique du langage', 'Connaissance de la situation', ""Système d'information""]","[""Sciences de l'ingénieur [physics]""]",[],2022/03/18,['Julien Coche']
25,Proposition d'indicateurs de robustesse basés sur la prise en compte des risques afin d'évaluer les tournées de transport routier de marchandises,"['Robustesse', 'Identification de risques', 'Danger', 'Aide à la décision', 'Livraison dernier kilométre']",['Autre [cs.OH]'],[],2019/11/05,['Antoine Clément']
26,Digital twin-based decision support system for the prospective and the retrospective analysis of an operating room under uncertainties,"['Operating room', 'Digital twin', 'Operating room management', 'Decision support system', 'Modeling and simulation', 'Uncertainties']",['Autre [cs.OH]'],[],2023/12/15,['Leah Rifi']
27,"A study and definition of an agile and social business process management approach for simultaneous modeling and orchestration of business processes, based on incompleteness, flexibility, and adaptability","['Business process management', 'Social BPM', 'Agility', 'Framework', 'Design-Time', 'Run-Time']",['Autre [cs.OH]'],[],2023/12/14,['Mehran Majidian Eidgahi']
28,Analysis of the factors that increase innovation and success in complex projects to propose a partner selection framework,"['Partnership', 'Strategic alliance', 'Complex project', 'Innovation', 'Trust', 'Partner selection']","['Gestion et management', 'Autre [cs.OH]']",[],2021/12/13,['Malihehsadat Vaezalaei']
29,Assistance à l’élaboration d’offres du produit au service : proposition d’un modèle générique centré connaissances et d’une méthodologie de déploiement et d’exploitation,"[""Réponse à appel d'offres"", 'Modélisation produit-service-processus', 'Méthodologie de déploiement', 'Système à base de connaissances']",['Autre [cs.OH]'],[],2019/10/07,['Delphine Guillon']
30,Évaluation des risques et de la robustesse de la planification tactique des acteurs d’une chaîne logistique basée sur une plateforme cloud,"['Chaîne logistique', 'Incertitude', 'Planification tactique', 'Gestion de risque', 'Robustesse', 'Ensembles flous', 'Théorie de possibilité', 'Système d’aide à la décision']","['Gestion et management', 'Autre [cs.OH]']",[],2022/02/02,['Sanaa Tiss']
31,Towards a hyperconnected humanitarian supply chain,"['Humanitarian', 'Supply Chain', 'Physical Internet', 'Simulation', 'Hyperconnectivity']",['Autre [cs.OH]'],[],2022/03/17,['Manon Grest']
32,Controlling the Decoupled Lead Time (DLT) parameter and lead times response in a system controlled in DDMRP,"['Decoupled Lead Time', 'DDMRP']",['Autre [cs.OH]'],[],2021/12/01,['Guillaume Dessevre']
33,Modélisation et optimisation des actifs pour l'aide à la prise de décision stratégique dans les entreprises,"['Décisions stratégiques', 'Aide à la décision', ""Modélisation d'entreprise"", 'Actifs', 'Valeur', 'Méta-modèle', 'Diagramme de causalité', ""Plan d'expériences"", 'Analyse de données']",['Autre [cs.OH]'],[],2024/04/02,['Romain Ben Taleb']
34,Système d'aide à la décision pour une planification industrielle et commerciale adaptative,"['S&OP', 'AS&OP', 'DDAE', 'DDMRP', 'Planification stratégique', ""Système d'aide à la décision"", 'Planification scénarisée', 'What-if analysis']",['Autre [cs.OH]'],[],2023/12/04,['Jean Baptiste Vidal']
35,SAMUFLUX : une démarche outillée de diagnostic et d'amélioration à base de doubles numériques : application aux centres d'appels d'urgence de trois SAMU,"['Double numérique', 'Process Mining', 'Organisations', 'Centre d’appel', 'Simulation à événements discrets', 'SAMU']",['Autre [cs.OH]'],[],2020/11/06,['Eva Petitdemange']
36,A decision support system for long-term supply chain capacity planning : a model-driven engineering approach,"['Supply Chain', 'Capacity Planning', 'Decision Support Systems', 'Information Systems', 'Decision-Making Processes', 'Model-Driven Engineering']",['Autre [cs.OH]'],[],2019/11/14,['Raphaël Oger']
37,De la vision métier à la génération assistée de plannings pour la coordination centralisée de services de soins à domicile,"['Ingénierie dirigée par les modèles', 'Langage de modélisation spécifique au domaine', 'Optimisation', 'Satisfaction des parties prenantes', 'Prise en charge à domicile', 'Coordination']",['Autre [cs.OH]'],[],2021/07/05,['Liwen Zhang']
38,"Knowledge-based configuration : a contribution to generic modeling, evaluation and evolutionary optimization","['Evaluation', 'Generic model', 'Product configuration', 'Process configuration', 'Concurrent configuration', 'Evolutionary optimization']",['Autre [cs.OH]'],[],2019/10/11,['Luis Garcés Monge']
39,Conception d'un système de détection des risques piloté par les données de suivi temps-réel des flux logistiques,"['Transport intermodal', 'Gestion du risque', 'Apprentissage automatique', ""Extraction d'évènement"", 'Modélisation de la connaissance']",['Autre [cs.OH]'],[],2023/02/28,['Cheik Ouedraogo']
40,Conception and evaluation of virtual environments dedicated to crisis management,"['Virtual reality', 'Collaboration', 'Situational awareness', 'Decision support', 'Interoperability', 'Crisis management']",['Autre [cs.OH]'],[],2022/06/15,['Aurélie Congès']
41,Industrial qualitative diagnosis support system,"['Supply chain', 'Diagnosis', 'Industry', 'Theory of Constraints', 'Thinking Processes']","['Autre [cs.OH]', 'Gestion et management']",[],2021/11/30,['Anthony Fouqué']
42,Une approche d’accompagnement de la maturation BPM d’une entreprise et de la formalisation de ses processus métiers,"['Gestion des Processus Metiers', 'Modélisation de processus', 'Génération de cartographie', 'Modélisation orientée contraintes', 'Maturité BPM']",['Autre [cs.OH]'],[],2020/02/03,['Manon Froger']
43,"Study of a decision support approach in socio-technical systems management, based on the physical principles of point and solid mechanics","['Decision support system (DSS)', 'Performance management', 'Modeling', 'Risks', 'Opportunities', 'Simulation', 'Physics', 'Force']",['Autre [cs.OH]'],[],2023/01/23,['Nafe Moradkhani']
44,Cascading effects of risk dedicated to collaborative networked organizations,"['Effet cascade', 'Modélisation des risques', 'Identification des risques', 'Réseau collaboratif']",['Autre [cs.OH]'],[],2020/10/08,['Jiayao Li']
45,Characterization of organizations and emerging networks to detect and anticipate collaboration opportunities,"['Collaborative networks', 'Collaborative need types', 'KPI Classifications', 'Enterprise characterization', 'Enterprise profile']",['Autre [cs.OH]'],[],2020/12/09,['Ibrahim Koura']
46,Efficience et résilience de la planification des opérations de maintenance d'un réseau de distribution d'eau (thèse sous embargo),"['Optimisation sous incertitude', 'Infrastructures critiques', ""Système d'aide à la décision"", 'Simulation']",['Informatique [cs]'],[],2023/12/21,['Marine Dubillard']
47,Study of the application of a decision support approach based on classical physics principles for managing supply chain risks and opportunities within its immersive performance management cockpit,"['Physics of decision', 'Supply chain management', 'Risk and opportunity', 'Resilience measurement', 'Virtual reality', 'Performance management']",['Autre [cs.OH]'],[],2023/05/16,['Thibaut Cerabona']
48,Implémentation d'une interopérabilité fédérée supportée par la transformation automatisée à la volée de modèles de données hétérogènes : application aux problèmes d'appariement des schémas,"['Interopérabilité', 'Théorie des graphes', 'Traitement automatique des langues', 'Optimisation']",['Autre [cs.OH]'],[],2023/04/18,['Mustapha Labreche']
49,A decision support system based on supply chain control tower for supply chain risk management,"['Decision aid system', 'Supply chain', 'Risk management']",['Autre [cs.OH]'],[],2023/11/29,['Chenhui Ye']
50,Impact des systèmes cyber-physiques sur le système de santé,"['soins de santé', 'hôpital', 'patient', 'surveillance', 'jumeau numérique']",['Informatique [cs]'],"['Comme dans le domaine industriel, mais sans doute avec beaucoup moins de maturité, les Systèmes Cyber-Physiques de Santé (HCPS) constituent un élément clé de l’évolution et de la modernisation du système de santé. Cependant, il est délicat et risqué d’imaginer une transposition directe des systèmes industriels cyber-physiques (ICPS) sans prendre en compte les spécificités du système de santé, présentées dans ce chapitre. Le terme ” système de santé ” désigne l’ensemble des organisations, institutions, ressources et personnes dont l’objectif principal est d’identifier et de satisfaire les besoins de santé de la population.']",2023,['Franck Fontanili']
51,Médias sociaux et résilience collective : la mobilisation des makers pendant la crise de Covid-19,[],"[""Sciences de l'Homme et Société"", ""Sciences de l'information et de la communication"", ""Sciences de l'ingénieur [physics]""]","[""Ce chapitre étudie l'appropriation des médias sociaux par les communautés de makers au cours de la crise de Covid-19, pour s'organiser et combler un manque institutionnel dans la production et la distribution de matériel médical (masques, visières). Des entretiens demi-directifs ont été menés avec des makers contribuant à deux réseaux: Visière solidaire, et le réseau d'étudiants des Arts et Métiers. Les travaux montrent en quoi les usages des médias sociaux s'intègrent de manière transparente aux pratiques des citoyens, qui se les approprient pour répondre à des besoins spécifiques. Les initiatives étudiées s'inscrivent alors dans une cartographie plus vaste de la diversité d'initiatives menées au cours de la crise, couvrant partage d'informations, construction de la connaissance, organisation et réalisation d'opérations de réponse. Cette étude souligne enfin l'apport de cette diversité d'usages des médias sociaux pour construire pleinement la résilience collective au fil des crises.""]",2022,['Robin Batard']
52,Designing Valid Humanitarian Logistics Scenario Sets: Application to Recurrent Peruvian Floods and Earthquakes,[],"[""Sciences de l'ingénieur [physics]""]","['Literature about humanitarian logistics (HL) has developed a lot of innovative decision support systems during the last decades to support decisions such as location, routing, supply, or inventory management. Most of those contributions are based on quantitative models but, generally, are not used by practitioners who are not confident with. This can be explained by the fact that scenarios and datasets used to design and validate those HL models are often too simple compared to the real situations. In this chapter, a scenario-based approach based on a five-step methodology has been developed to bridge this gap by designing a set of valid scenarios able to assess disaster needs in regions subject to recurrent disasters. The contribution, usable by both scholars and practitioners, demonstrates that defining such valid scenario sets is possible for recurrent disasters. Finally, the proposal is validated on a concrete application case based on Peruvian recurrent flood and earthquake disasters.']",2021,['Matthieu Lauras']
53,Chapitre II : Optimiser les métiers,[],"[""Sciences de l'ingénieur [physics]""]",[],2021,['Matthieu Lauras']
54,A Tool-based Approach to Analyze Operating Room Schedule Execution: Application to Online Management,"['Healthcare Systems', 'Technology']","[""Sciences de l'ingénieur [physics]""]","['This book is centered around the development of agile, high-performing healthcare institutions that are well integrated into their environment. The aim is to take advantage of artificial intelligence, optimization and simulation methods to provide solutions to prevent, anticipate, monitor and follow public health developments in order to intervene at the right time, using tools and resources that are both appropriate and effective. The focus is on the people involved – the patients, as well as medical, technical and administrative staff – in an effort to provide an efficient healthcare and working environment that meets safety, quality and productivity requirements.\r\nHealthcare Systems has been written by healthcare professionals, researchers in science and technology as well as in the social sciences and humanities from various French-speaking countries. It explores the challenges and opportunities presented by digital technology in our practices, organizations and management techniques.']",2022,"['Leah Rifi', 'Franck Fontanili']"
55,The Integration of Risk Aspects into Business Process Management: The e -BPRIM Modeling Method,"['Risk-aware Business', 'Process Management', 'Meta-modeling', 'Multi-view modeling method', 'Modeling tool', 'AdoBPRIM', 'COVID-19 pandemic']","[""Sciences de l'ingénieur [physics]""]","['Risk consideration in enterprise engineering is gaining attention since the business environment is becoming more and more competitive, complex, and unpredictable. Risk-aware Business Process Management (R-BPM) is a recently emerged management paradigm, which assists organizations in addressing this concern. R-BPM strives to integrate two traditionally isolated areas: risk management and business process management. This chapter will present recent achievements of our long-term research devoted to this field. It consists in developing an integrated process-risk management methodological framework, named BPRIM, and its related multi-view modeling method, called e -BPRIM, which promotes and supports risk-aware process management with AdoBPRIM, a computer-assisted modeling environment based on ADOxx. A case study related to the management of the COVID-19 pandemic in France shall illustrate the usage of the e -BPRIM method with the AdoBPRIM modeling environment.']",2022,"['Elyes Lamine', 'Amadou Sienou']"
56,Impact of Industrial Cyber-Physical Systems on the Health System,[],"[""Sciences de l'ingénieur [physics]""]","['As in the industrial field, though arguably far less mature, health cyber-physical systems (HCPS) are a key element in the evolution and modernization of the health system. This chapter provides an overview of the main applications of CPS in the health domain, and more specifically in the production of healthcare. Recently, a digital transformation of the healthcare production system has made it possible to encourage and promote the evolution of medical devices, medical practices and engineering in the organization of flows. HCPS combine the use of smart biosensors and various connected objects, with access to data from patient health records, to facilitate decision support, whether medical or organizational. The concept of a digital twin can be considered as one of the key elements of a cyber-physical system, provided that one of its basic principles is respected, namely a real-time interaction between the virtual and the physical world.']",2022,['Franck Fontanili']
57,Towards a Prototype for the Strategic Recomputing of Schedules in Home Care Services,"['Healthcare Systems', 'Technology']","[""Sciences de l'ingénieur [physics]""]","['This book is centered around the development of agile, high-performing healthcare institutions that are well integrated into their environment. The aim is to take advantage of artificial intelligence, optimization and simulation methods to provide solutions to prevent, anticipate, monitor and follow public health developments in order to intervene at the right time, using tools and resources that are both appropriate and effective. The focus is on the people involved – the patients, as well as medical, technical and administrative staff – in an effort to provide an efficient healthcare and working environment that meets safety, quality and productivity requirements.Healthcare Systems has been written by healthcare professionals, researchers in science and technology as well as in the social sciences and humanities from various French-speaking countries. It explores the challenges and opportunities presented by digital technology in our practices, organizations and management techniques.']",2022,['Clea Martinez']
