Paper Name,Keywords,Domains,Abstract,Publication Date,Author,Keyword Clusters,Paper Cluster
"Design of a social media processing system for crisis response: extraction, management and sharing of relevant information for decision-makers (embargoed thesis)","['crisis management', 'machine learning', 'automatic language processing', 'knowledge of the situation', 'information system']",['Engineering sciences [physics]'],[],2022/03/18,['Julien Coche'],"['Cluster 15', 'Cluster 12', 'Cluster 9', 'Cluster 8', 'Cluster 8']",Cluster 8
Assistance with the development of offers from product to service: proposal of a generic knowledge-based model and a deployment and operating methodology,"['response to call for tenders', 'product-service-process modelling', 'deployment methodology', 'knowledge-based system']",['Other [cs.OH]'],[],2019/10/07,['Delphine Guillon'],"['Cluster 1', 'Cluster 17', 'Cluster 3', 'Cluster 9']",Cluster 1
Assessing the risks and robustness of tactical planning by players in a supply chain based on a cloud platform,"['supply chain', 'uncertainty', 'tactical planning', 'risk management', 'robustness', 'fuzzy sets', 'theory of possibility', 'decision support system']","['Management', 'Other [cs.OH]']",[],2022/02/02,['Sanaa Tiss'],"['Cluster 2', 'Cluster 18', 'Cluster 8', 'Cluster 6', 'Cluster 18', 'Cluster 8', 'Cluster 18', 'Cluster 8']",Cluster 18
Sliding horizon uncertainty modelling and compilation of solutions to lot sizing problems for tactical planning of a decentralised supply chain,"['decentralised supply chain', 'tactical planning', 'rolling planning', 'instabilité', 'batch sizing problem', 'compiling knowledge']",['Other [cs.OH]'],[],2023/07/07,['Walid Khellaf'],"['Cluster 2', 'Cluster 8', 'Cluster 14', 'Cluster 1', 'Cluster 11', 'Cluster 9']",Cluster 2
Assessing the potential of the physical Internet for city logistics activities in developing countries,"['physical internet', 'city logistics', 'simulation', 'last-mile delivery', 'developing countries', 'cambodia']",['Other [cs.OH]'],[],2023/05/12,['Sam Ban'],"['Cluster 7', 'Cluster 13', 'Cluster 16', 'Cluster 13', 'Cluster 14', 'Cluster 1']",Cluster 13
Assistance with the development of offers from product to service: proposal of a generic knowledge-based model and a deployment and operating methodology,"['response to call for tenders', 'product-service-process modelling', 'deployment methodology', 'knowledge-based system']",['Other [cs.OH]'],[],2019/10/07,['Delphine Guillon'],"['Cluster 1', 'Cluster 17', 'Cluster 3', 'Cluster 9']",Cluster 1
Assessing the risks and robustness of tactical planning by players in a supply chain based on a cloud platform,"['supply chain', 'uncertainty', 'tactical planning', 'risk management', 'robustness', 'fuzzy sets', 'theory of possibility', 'decision support system']","['Management', 'Other [cs.OH]']",[],2022/02/02,['Sanaa Tiss'],"['Cluster 2', 'Cluster 18', 'Cluster 8', 'Cluster 6', 'Cluster 18', 'Cluster 8', 'Cluster 18', 'Cluster 8']",Cluster 18
Towards a hyperconnected humanitarian supply chain,"['humanitarian', 'supply chain', 'physical internet', 'simulation', 'hyperconnectivity']",['Other [cs.OH]'],[],2022/03/17,['Manon Grest'],"['Cluster 15', 'Cluster 2', 'Cluster 7', 'Cluster 16', 'Cluster 16']",Cluster 16
Controlling the Decoupled Lead Time (DLT) parameter and lead times response in a system controlled in DDMRP,"['decoupled lead time', 'ddmrp']",['Other [cs.OH]'],[],2021/12/01,['Guillaume Dessevre'],"['Cluster 1', 'Cluster 1']",Cluster 1
Asset modelling and optimisation to support strategic decision-making in companies,"['strategic decisions', 'decision support', 'business modelling', 'assets', 'value', 'meta-model', 'causality diagram', 'design of experiments', 'data analysis']",['Other [cs.OH]'],[],2024/04/02,['Romain Ben Taleb'],"['Cluster 14', 'Cluster 8', 'Cluster 17', 'Cluster 1', 'Cluster 1', 'Cluster 17', 'Cluster 16', 'Cluster 16', 'Cluster 5']",Cluster 17
Decision support system for adaptive industrial and commercial planning,"['s&op', 'as&op', 'ddae', 'ddmrp', 'strategic planning', 'decision support system', 'scenario planning', 'what-if analysis']",['Other [cs.OH]'],[],2023/12/04,['Jean Baptiste Vidal'],"['Cluster 1', 'Cluster 1', 'Cluster 1', 'Cluster 1', 'Cluster 14', 'Cluster 8', 'Cluster 8', 'Cluster 5']",Cluster 1
An approach to supporting a company's BPM maturation and the formalisation of its business processes,"['business process management', 'process modelling', 'map generation', 'constraint-oriented modelling', 'bpm maturity']",['Other [cs.OH]'],[],2020/02/03,['Manon Froger'],"['Cluster 3', 'Cluster 17', 'Cluster 16', 'Cluster 19', 'Cluster 3']",Cluster 3
Industrial qualitative diagnosis support system,"['supply chain', 'diagnosis', 'industry', 'theory of constraints', 'thinking processes']","['Other [cs.OH]', 'Management']",[],2021/11/30,['Anthony Fouqué'],"['Cluster 2', 'Cluster 10', 'Cluster 14', 'Cluster 19', 'Cluster 8']",Cluster 2
"Study of a decision support approach in socio-technical systems management, based on the physical principles of point and solid mechanics","['decision support system (dss)', 'performance management', 'modelling', 'risks', 'opportunities', 'simulation', 'physics', 'force']",['Other [cs.OH]'],[],2023/01/23,['Nafe Moradkhani'],"['Cluster 8', 'Cluster 5', 'Cluster 17', 'Cluster 6', 'Cluster 1', 'Cluster 16', 'Cluster 1', 'Cluster 1']",Cluster 1
Cascading effects of risk dedicated to collaborative networked organizations,"['cascade effect', 'risk modelling', 'identifying risks', 'collaborative network']",['Other [cs.OH]'],[],2020/10/08,['Jiayao Li'],"['Cluster 16', 'Cluster 6', 'Cluster 6', 'Cluster 12']",Cluster 6
SAMUFLUX: a tool-based approach to diagnosis and improvement based on digital doubles: application to the emergency call centres of three SAMUs (emergency medical services),"['digital double', 'process mining', 'organisations', 'call centre', 'discrete-event simulation', 'samu']",['Other [cs.OH]'],[],2020/11/06,['Eva Petitdemange'],"['Cluster 7', 'Cluster 8', 'Cluster 14', 'Cluster 10', 'Cluster 17', 'Cluster 1']",Cluster 7
A decision support system for long-term supply chain capacity planning : a model-driven engineering approach,"['supply chain', 'capacity planning', 'decision support systems', 'information systems', 'decision-making processes', 'model-driven engineering']",['Other [cs.OH]'],[],2019/11/14,['Raphaël Oger'],"['Cluster 2', 'Cluster 3', 'Cluster 8', 'Cluster 8', 'Cluster 8', 'Cluster 17']",Cluster 8
From business vision to assisted schedule generation for centralised coordination of homecare services,"['model-driven engineering', 'domain-specific modelling language', 'optimisation', 'stakeholder satisfaction', 'care at home', 'coordination']",['Other [cs.OH]'],[],2021/07/05,['Liwen Zhang'],"['Cluster 17', 'Cluster 17', 'Cluster 20', 'Cluster 14', 'Cluster 10', 'Cluster 1']",Cluster 17
"Knowledge-based configuration : a contribution to generic modeling, evaluation and evolutionary optimization","['evaluation', 'generic model', 'product configuration', 'process configuration', 'concurrent configuration', 'evolutionary optimization']",['Other [cs.OH]'],[],2019/10/11,['Luis Garcés Monge'],"['Cluster 5', 'Cluster 17', 'Cluster 3', 'Cluster 3', 'Cluster 11', 'Cluster 20']",Cluster 3
Design of a risk detection system driven by real-time logistics flow monitoring data,"['transport intermodal', 'risk management', 'automatic learning', 'event extraction', 'knowledge modelling']",['Other [cs.OH]'],[],2023/02/28,['Cheik Ouedraogo'],"['Cluster 13', 'Cluster 6', 'Cluster 9', 'Cluster 9', 'Cluster 9']",Cluster 9
Conception and evaluation of virtual environments dedicated to crisis management,"['virtual reality', 'collaboration', 'situational awareness', 'decision support', 'interoperability', 'crisis management']",['Other [cs.OH]'],[],2022/06/15,['Aurélie Congès'],"['Cluster 7', 'Cluster 12', 'Cluster 8', 'Cluster 8', 'Cluster 3', 'Cluster 15']",Cluster 8
Designing a data-driven model for business continuity planning evaluation using robustness indicators,"['business continuity planning', 'robustness indicators', 'data-driven approach', 'risk management', 'disaster preparedness', 'business continuity assessment', 'resilience']",['Other [cs.OH]'],[],2023/11/27,['Oussema Ben Amara'],"['Cluster 14', 'Cluster 18', 'Cluster 8', 'Cluster 6', 'Cluster 15', 'Cluster 14', 'Cluster 4']",Cluster 14
A methodology for business process discovery and diagnosis based on indoor location data : Application to patient pathways improvement,"['process mining', 'indoor localization systems', 'business process management', 'business process diagnosis', 'healthcare processes']",['Other [cs.OH]'],[],2019/11/12,['Sina Namaki Araghi'],"['Cluster 8', 'Cluster 7', 'Cluster 3', 'Cluster 8', 'Cluster 10']",Cluster 8
Managing the transport of intelligent parcels: a proposal for a decentralised approach Application to parcels containing sensitive products,"['transport', 'decentralised management', 'colis intelligent', 'physical internet', 'simulation', 'efs']",['Other [cs.OH]'],[],2019/11/13,['Quentin Schoen'],"['Cluster 13', 'Cluster 14', 'Cluster 8', 'Cluster 7', 'Cluster 16', 'Cluster 1']",Cluster 13
HospiT'Win : designing a discrete event simulation-based digital twin for real-time monitoring and near-future prediction of patient pathways in the hospital,"['digital twin', 'online simulation', 'offline simulation', 'discrete event simulation', 'patient pathways in hospital', 'predictive simulation', 'real time data', 'internet of things']",['Other [cs.OH]'],[],2021/10/18,['Abdallah Karakra'],"['Cluster 7', 'Cluster 17', 'Cluster 17', 'Cluster 17', 'Cluster 10', 'Cluster 17', 'Cluster 7', 'Cluster 7']",Cluster 17
Agility management in supply chains : monitoring plans execution with a model-driven framework,"['supply chain agility and visibility', 'model-driven engineering', 'event-driven architecture', 'complex-event processing', 'service-driven architecture', 'supply chain monitoring', 'supply chain modeling']",['Other [cs.OH]'],[],2019/10/21,['Zheng Jiang'],"['Cluster 2', 'Cluster 17', 'Cluster 8', 'Cluster 8', 'Cluster 17', 'Cluster 2', 'Cluster 2']",Cluster 2
Characterization of organizations and emerging networks to detect and anticipate collaboration opportunities,"['collaborative networks', 'collaborative need types', 'kpi classifications', 'enterprise characterization', 'enterprise profile']",['Other [cs.OH]'],[],2020/12/09,['Ibrahim Koura'],"['Cluster 12', 'Cluster 12', 'Cluster 8', 'Cluster 14', 'Cluster 14']",Cluster 12
Efficiency and resilience of maintenance planning for a water distribution network (embargoed thesis),"['optimisation under uncertainty', 'critical infrastructures', 'decision support system', 'simulation']",['IT [cs]'],[],2023/12/21,['Marine Dubillard'],"['Cluster 18', 'Cluster 3', 'Cluster 8', 'Cluster 16']",Cluster 18
Implementation of federated interoperability supported by automated on-the-fly transformation of heterogeneous data models: application to schema matching problems,"['interoperability', 'graph theory', 'automatic language processing', 'optimisation']",['Other [cs.OH]'],[],2023/04/18,['Mustapha Labreche'],"['Cluster 3', 'Cluster 12', 'Cluster 9', 'Cluster 20']",Cluster 3
Study of the application of a decision support approach based on classical physics principles for managing supply chain risks and opportunities within its immersive performance management cockpit,"['physics of decision', 'supply chain management', 'risk and opportunity', 'resilience measurement', 'virtual reality', 'performance management']",['Other [cs.OH]'],[],2023/05/16,['Thibaut Cerabona'],"['Cluster 8', 'Cluster 2', 'Cluster 6', 'Cluster 4', 'Cluster 7', 'Cluster 5']",Cluster 8
"Design of a social media processing system for crisis response: extraction, management and sharing of relevant information for decision-makers (embargoed thesis)","['crisis management', 'machine learning', 'automatic language processing', 'knowledge of the situation', 'information system']",['Engineering sciences [physics]'],[],2022/03/18,['Julien Coche'],"['Cluster 15', 'Cluster 12', 'Cluster 9', 'Cluster 8', 'Cluster 8']",Cluster 8
Towards a Prototype for the Strategic Recomputing of Schedules in Home Care Services,"['healthcare systems', 'technology']",['Engineering sciences [physics]'],"['This book is centered around the development of agile, high-performing healthcare institutions that are well integrated into their environment. The aim is to take advantage of artificial intelligence, optimization and simulation methods to provide solutions to prevent, anticipate, monitor and follow public health developments in order to intervene at the right time, using tools and resources that are both appropriate and effective. The focus is on the people involved – the patients, as well as medical, technical and administrative staff – in an effort to provide an efficient healthcare and working environment that meets safety, quality and productivity requirements.Healthcare Systems has been written by healthcare professionals, researchers in science and technology as well as in the social sciences and humanities from various French-speaking countries. It explores the challenges and opportunities presented by digital technology in our practices, organizations and management techniques.']",2022,['Clea Martinez'],"['Cluster 10', 'Cluster 7']",Cluster 10
Impact of cyber-physical systems on the healthcare system,"['health care', 'hospital', 'patient', 'surveillance', 'digital twin']",['IT [cs]'],"['Comme dans le domaine industriel, mais sans doute avec beaucoup moins de maturité, les Systèmes Cyber-Physiques de Santé (HCPS) constituent un élément clé de l’évolution et de la modernisation du système de santé. Cependant, il est délicat et risqué d’imaginer une transposition directe des systèmes industriels cyber-physiques (ICPS) sans prendre en compte les spécificités du système de santé, présentées dans ce chapitre. Le terme ” système de santé ” désigne l’ensemble des organisations, institutions, ressources et personnes dont l’objectif principal est d’identifier et de satisfaire les besoins de santé de la population.']",2023,['Franck Fontanili'],"['Cluster 10', 'Cluster 10', 'Cluster 10', 'Cluster 1', 'Cluster 7']",Cluster 10
A Tool-based Approach to Analyze Operating Room Schedule Execution: Application to Online Management,"['healthcare systems', 'technology']",['Engineering sciences [physics]'],"['This book is centered around the development of agile, high-performing healthcare institutions that are well integrated into their environment. The aim is to take advantage of artificial intelligence, optimization and simulation methods to provide solutions to prevent, anticipate, monitor and follow public health developments in order to intervene at the right time, using tools and resources that are both appropriate and effective. The focus is on the people involved – the patients, as well as medical, technical and administrative staff – in an effort to provide an efficient healthcare and working environment that meets safety, quality and productivity requirements.\r\nHealthcare Systems has been written by healthcare professionals, researchers in science and technology as well as in the social sciences and humanities from various French-speaking countries. It explores the challenges and opportunities presented by digital technology in our practices, organizations and management techniques.']",2022,"['Leah Rifi', 'Franck Fontanili']","['Cluster 10', 'Cluster 7']",Cluster 10
The Integration of Risk Aspects into Business Process Management: The e -BPRIM Modeling Method,"['risk-aware business', 'process management', 'meta-modelling', 'multi-view modeling method', 'modeling tool', 'adobprim', 'covid-19 pandemic']",['Engineering sciences [physics]'],"['Risk consideration in enterprise engineering is gaining attention since the business environment is becoming more and more competitive, complex, and unpredictable. Risk-aware Business Process Management (R-BPM) is a recently emerged management paradigm, which assists organizations in addressing this concern. R-BPM strives to integrate two traditionally isolated areas: risk management and business process management. This chapter will present recent achievements of our long-term research devoted to this field. It consists in developing an integrated process-risk management methodological framework, named BPRIM, and its related multi-view modeling method, called e -BPRIM, which promotes and supports risk-aware process management with AdoBPRIM, a computer-assisted modeling environment based on ADOxx. A case study related to the management of the COVID-19 pandemic in France shall illustrate the usage of the e -BPRIM method with the AdoBPRIM modeling environment.']",2022,"['Elyes Lamine', 'Amadou Sienou']","['Cluster 6', 'Cluster 3', 'Cluster 17', 'Cluster 17', 'Cluster 17', 'Cluster 1', 'Cluster 10']",Cluster 17
Optimal Sizing of an Automated Dispensing Cabinet Under Adjacency Constraints,"['healthcare systems', 'technology']",['Engineering sciences [physics]'],"['This book is centered around the development of agile, high-performing healthcare institutions that are well integrated into their environment. The aim is to take advantage of artificial intelligence, optimization and simulation methods to provide solutions to prevent, anticipate, monitor and follow public health developments in order to intervene at the right time, using tools and resources that are both appropriate and effective. The focus is on the people involved – the patients, as well as medical, technical and administrative staff – in an effort to provide an efficient healthcare and working environment that meets safety, quality and productivity requirements.\r\nHealthcare Systems has been written by healthcare professionals, researchers in science and technology as well as in the social sciences and humanities from various French-speaking countries. It explores the challenges and opportunities presented by digital technology in our practices, organizations and management techniques.']",2022,['Didier Gourc'],"['Cluster 10', 'Cluster 7']",Cluster 10
Risk knowledge modeling for offer definition in customer-supplier relationships in Engineer-To-Order situations,"['customer-supplier relationship', 'offer definition', 'engineer to order', 'risk engineering', 'knowledge-based system', 'knowledge model']",['Engineering sciences [physics]'],"['This work deals with the customer-supplier relationship and concerns offer definition in Engineer-To-Order situations (ETO), by adopting the supplier point of view. In such cases, when the offer definition relies simply on key design choices without a detailed design, there is a specific risk (ETO-specific risk) that customer expectations cannot be fulfilled. This kind of risk is in addition to the conventional risks (non ETO-specific risk) involved in any delivery process (machine break down, resource not available, scrapped part…). In order to minimize the supplier risk of not being able to complete the offer as accepted and contracted by the customer, a knowledge-based system can be used to assist risk engineering. Consequently, this article proposes two interrelated knowledge modeling contributions. Firstly, a risk knowledge model which, when implemented in a knowledge-based system that supports risk characterization and risk treatment by using knowledge re-use techniques, is proposed and discussed. Secondly, two knowledge typologies for risk characterizations and treatments (both for ETO and non-ETO situations) in order to support risk knowledge, identification and modeling are also proposed and discussed. These contributions are innovative and groundbreaking in terms of both academics and applications: they provide a formal model to structure risk knowledge and a first list of risks and treatments to be taken into account in ETO and non ETO situations. After an introduction that presents the research gap, our objectives and an analysis of related works, our two contributions are described in two sections with respect to ISO31000 recommendations. The first section covers risk identification and evaluation while the second deals with risk treatments.']",2022,"['Delphine Guillon', 'Michel Aldanondo']","['Cluster 2', 'Cluster 1', 'Cluster 3', 'Cluster 6', 'Cluster 9', 'Cluster 9']",Cluster 9
A multicriteria Master Planning DSS for a sustainable humanitarian supply chain,"['disaster relief operations', 'humanitarian supply chain', 'sustainability', 'master planning', 'multi-objective decision support system', 'sustainable supply chain']",['Engineering sciences [physics]'],"['Humanitarian supply chains (HSCs) contribute significantly to achieving effective and rapid responses to natural and man-made disasters. Though humanitarian organizations have during the last decades made considerable efforts to improve the response to crises in terms of effectiveness and efficiency, HSCs are still faced with so many challenges, one of which is the incorporation of sustainability dimensions (economic, social and environmental) in the management of their supply chains. In the literature, some authors have highlighted that the planning and achievement of sustainability performance objectives in humanitarian operations is hindered by the lack of decision support systems (DSS). Therefore, this paper proposes a multi-objective Master Planning DSS for managing sustainable HSCs. This Master Planning DSS includes: (1) the definition of a set of metrics for measuring the performance of a sustainable HSC; (2) an algorithm to solve the multi-objective problem; and (3) a Master Planning mathematical model to support the tactical planning of the sustainable HSC. Using the information gathered from field research and the literature, an illustrative numerical example is presented to demonstrate the implementation and utility of the proposed DSS. The results show that the order in which the three sustainability dimensions (economic, social and environmental) are prioritized has some impact on the performance measures. Therefore, it is important to fix a tolerance that would enable to obtain an acceptable balance (trade-off) between the three sustainability objectives, in line with the prioritization choice of the decision maker.']",2019,"['Laura Laguna Salvado', 'Matthieu Lauras']","['Cluster 15', 'Cluster 2', 'Cluster 14', 'Cluster 14', 'Cluster 8', 'Cluster 2']",Cluster 2
The Centralization and Sharing of Information for Improving a Resilient Approach Based on Decision-Making at a Local Home Health Care Center,"['home health care routing and scheduling problem', 'resilience', 'information sharing', 'discrete event simulation', 'optimization']",['Engineering sciences [physics]'],"['Home care centers face both an increase in demand and many variations during the execution of routes, compromising the routes initially planned; robust solutions are not effective enough, and it is necessary to move on to resilient approaches. We create a close-to-reality use case supported by interviews of staff at home health care centers, where caregivers are faced with unexpected events that compromise their initial route. We model, analyze, and compare two resilient approaches to deal with these disruptions: a distributed collaborative approach and a centralized collaborative approach, where we propose a centralization and sharing of information to improve local decision-making. The latter reduces the number of late arrivals by 11%, the total time of late arrival by 21%, and halves the number of routes exceeding the end of work time (contrary to the distributed collaborative approach due to the time wasted reaching colleagues). The use of a device, such as a smartphone application, to centralize and share information thus, allows better mutual assistance between caregivers. Moreover, we highlight several possible openings, like the coupling of simulation and optimization, to propose a more resilient approach.']",2023,"['Guillaume Dessevre', 'Cléa Martinez', 'Liwen Zhang']","['Cluster 11', 'Cluster 4', 'Cluster 12', 'Cluster 17', 'Cluster 20']",Cluster 11
A systematic approach to classify and characterize genomic islands driven by conjugative mobility using protein signatures,"['horizontal gene-transfer', 'transfer rna', 'elements', 'resistance', 'tn916']",['Engineering sciences [physics]'],"['Genomic islands (GIs) play a crucial role in the spread of antibiotic resistance, virulence factors and antiviral defense systems in a broad range of bacterial species. However, the characterization and classification of GIs are challenging due to their relatively small size and considerable genetic diversity. Predicting their intercellular mobility is of utmost importance in the context of the emerging crisis of multidrug resistance. Here, we propose a large-scale classification method to categorize GIs according to their mobility profile and, subsequently, analyze their gene cargo. We based our classification decision scheme on a collection of mobility protein motif definitions available in publicly accessible databases. Our results show that the size distribution of GI classes correlates with their respective structure and complexity. Self-transmissible GIs are usually the largest, except in Bacillota and Actinomycetota, accumulate antibiotic and phage resistance genes, and favour the use of a tyrosine recombinase to insert into a host's replicon. Non-mobilizable GIs tend to use a DDE transposase instead. Finally, although tRNA genes are more frequently targeted as insertion sites by GIs encoding a tyrosine recombinase, most GIs insert in a protein-encoding gene. This study is a stepping stone toward a better characterization of mobile GIs in bacterial genomes and their mechanism of mobility.']",2023,['Nicolas Cellier'],"['Cluster 16', 'Cluster 13', 'Cluster 1', 'Cluster 1', 'Cluster 1']",Cluster 1
Authoring training scenarios “from within” in an immersive environment with the CESTATE framework,"['virtual worlds', 'educationnal technology', 'crisis simulation', 'smart environment', 'experimental learning']",['Engineering sciences [physics]'],"['Virtual reality (VR) can be used to train for complex, dynamic and dangerous situations, such as disaster response. The aim of this research is to support trainers with an immersive authoring tool that facilitates the implementation of training environments, enabling both the design and execution of complex and dynamic exercises. A systematic literature review was conducted to identify VR-based authoring tools. Each environment was assessed based on variability, reusability and design assistance, with each criterion graded on a 3-point scale. Following a model-driven approach, the work presented in this article introduces the CESTATE (Cascading Effect Simulation To Authoring Training Environments) framework. It uses a metamodel to design training exercises, thus ensuring their reusability. Inheriting from the [Anonymized for peer review] paradigm, this metamodel can be used to describe all types of potentialities and cascading effects. This ensures the dynamic, and therefore, the plausibility of the virtual training environment. In addition, this framework supports the design of immersive training environments, at both design and run time. It is a generic approach. Its applicability is demonstrated in several iterations of a case study involving the training of practitioners on a complex and realistic crisis situation: a fire in a cathedral.']",2024/08/13,"['Alexis Evain', 'Audrey Fertier', 'Frederick Benaben']","['Cluster 7', 'Cluster 7', 'Cluster 15', 'Cluster 7', 'Cluster 16']",Cluster 7
